,dataset,rewiring,layer_type,num_iterations,brf_batch_add,brf_batch_remove,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,rewiring_duration,run_duration
0,mutag,sdrf_bfc,GCN,10,4,2,0.1,0.001,67.00000000000001,0.02262741699796952,73.94444444444444,0.020589761329479716,70.93333333333332,0.007619857099855759,0.0,0.0,False,0.8717119693756104,728.8070952892303
0,mutag,sdrf_bfc,GCN,10,4,2,0.1,0.001,67.00000000000001,0.02262741699796952,73.94444444444444,0.020589761329479716,70.93333333333332,0.007619857099855759,0.0,0.0,False,0.8717119693756104,728.8070952892303
1,enzymes,sdrf_bfc,GCN,10,4,2,0.1,0.001,25.4,0.01127553891296455,31.33333333333333,0.009752492558885195,29.04583333333333,0.006220257006122996,0.0,0.0,False,1.161940336227417,1968.5376892089844
0,mutag,sdrf_bfc,GCN,10,4,2,0.1,0.001,67.00000000000001,0.02262741699796952,73.94444444444444,0.020589761329479716,70.93333333333332,0.007619857099855759,0.0,0.0,False,0.8717119693756104,728.8070952892303
1,enzymes,sdrf_bfc,GCN,10,4,2,0.1,0.001,25.4,0.01127553891296455,31.33333333333333,0.009752492558885195,29.04583333333333,0.006220257006122996,0.0,0.0,False,1.161940336227417,1968.5376892089844
2,imdb,sdrf_bfc,GCN,10,4,2,0.1,0.001,48.68,0.00836602653593688,51.22999999999999,0.008840158369622118,50.08625,0.0016369541074813302,0.0,0.0,False,3.0432913303375244,2322.2394518852234
0,mutag,sdrf_bfc,GCN,10,4,2,0.1,0.001,67.00000000000001,0.02262741699796952,73.94444444444444,0.020589761329479716,70.93333333333332,0.007619857099855759,0.0,0.0,False,0.8717119693756104,728.8070952892303
1,enzymes,sdrf_bfc,GCN,10,4,2,0.1,0.001,25.4,0.01127553891296455,31.33333333333333,0.009752492558885195,29.04583333333333,0.006220257006122996,0.0,0.0,False,1.161940336227417,1968.5376892089844
2,imdb,sdrf_bfc,GCN,10,4,2,0.1,0.001,48.68,0.00836602653593688,51.22999999999999,0.008840158369622118,50.08625,0.0016369541074813302,0.0,0.0,False,3.0432913303375244,2322.2394518852234
3,proteins,sdrf_bfc,GCN,10,4,2,0.1,0.001,70.65178571428571,0.009363189839984652,73.99099099099098,0.00846522843902971,71.10000000000002,0.0026661754166037175,0.0,0.0,False,2.3266422748565674,3103.7895455360413
0,mutag,sdrf_bfc,GCN,15,4,2,0.1,0.001,69.8,0.019386593305684215,74.99999999999999,0.02306726610225188,69.90666666666667,0.007912903667077243,0.0,0.0,False,0.8697843551635742,723.0014307498932
0,mutag,sdrf_bfc,GCN,15,4,2,0.1,0.001,69.8,0.019386593305684215,74.99999999999999,0.02306726610225188,69.90666666666667,0.007912903667077243,0.0,0.0,False,0.8697843551635742,723.0014307498932
1,enzymes,sdrf_bfc,GCN,15,4,2,0.1,0.001,26.033333333333335,0.01084004920038035,32.33333333333333,0.009486832980505138,29.310416666666665,0.005846917219545889,0.0,0.0,False,1.232914924621582,1974.4215335845947
0,mutag,sdrf_bfc,GCN,15,4,2,0.1,0.001,69.8,0.019386593305684215,74.99999999999999,0.02306726610225188,69.90666666666667,0.007912903667077243,0.0,0.0,False,0.8697843551635742,723.0014307498932
1,enzymes,sdrf_bfc,GCN,15,4,2,0.1,0.001,26.033333333333335,0.01084004920038035,32.33333333333333,0.009486832980505138,29.310416666666665,0.005846917219545889,0.0,0.0,False,1.232914924621582,1974.4215335845947
2,imdb,sdrf_bfc,GCN,15,4,2,0.1,0.001,47.99,0.008847575939205045,52.160000000000004,0.009229171143715995,50.13375,0.0019704869322073656,0.0,0.0,False,3.5770246982574463,2297.8575360774994
0,mutag,sdrf_bfc,GCN,15,4,2,0.1,0.001,69.8,0.019386593305684215,74.99999999999999,0.02306726610225188,69.90666666666667,0.007912903667077243,0.0,0.0,False,0.8697843551635742,723.0014307498932
1,enzymes,sdrf_bfc,GCN,15,4,2,0.1,0.001,26.033333333333335,0.01084004920038035,32.33333333333333,0.009486832980505138,29.310416666666665,0.005846917219545889,0.0,0.0,False,1.232914924621582,1974.4215335845947
2,imdb,sdrf_bfc,GCN,15,4,2,0.1,0.001,47.99,0.008847575939205045,52.160000000000004,0.009229171143715995,50.13375,0.0019704869322073656,0.0,0.0,False,3.5770246982574463,2297.8575360774994
3,proteins,sdrf_bfc,GCN,15,4,2,0.1,0.001,70.87499999999997,0.00762138171092837,73.22522522522523,0.008265067353953773,71.12584269662922,0.002300048028129096,0.0,0.0,False,3.1946377754211426,3071.6967396736145
0,mutag,sdrf_bfc,GCN,20,4,2,0.1,0.001,69.60000000000001,0.019681463360228073,73.83333333333331,0.020685475312133605,69.89999999999999,0.008542443054146358,0.0,0.0,False,0.865673303604126,727.3262896537781
0,mutag,sdrf_bfc,GCN,20,4,2,0.1,0.001,69.60000000000001,0.019681463360228073,73.83333333333331,0.020685475312133605,69.89999999999999,0.008542443054146358,0.0,0.0,False,0.865673303604126,727.3262896537781
1,enzymes,sdrf_bfc,GCN,20,4,2,0.1,0.001,25.63333333333333,0.011525623627379125,31.166666666666664,0.009597453365925311,29.456250000000004,0.005123100935414454,0.0,0.0,False,1.264819860458374,1993.8518986701965
0,mutag,sdrf_bfc,GCN,20,4,2,0.1,0.001,69.60000000000001,0.019681463360228073,73.83333333333331,0.020685475312133605,69.89999999999999,0.008542443054146358,0.0,0.0,False,0.865673303604126,727.3262896537781
1,enzymes,sdrf_bfc,GCN,20,4,2,0.1,0.001,25.63333333333333,0.011525623627379125,31.166666666666664,0.009597453365925311,29.456250000000004,0.005123100935414454,0.0,0.0,False,1.264819860458374,1993.8518986701965
2,imdb,sdrf_bfc,GCN,20,4,2,0.1,0.001,48.73,0.010773504536593467,51.870000000000005,0.009417664253943223,50.125,0.0027251146764861096,0.0,0.0,False,4.1301960945129395,2320.728036403656
0,mutag,sdrf_bfc,GCN,20,4,2,0.1,0.001,69.60000000000001,0.019681463360228073,73.83333333333331,0.020685475312133605,69.89999999999999,0.008542443054146358,0.0,0.0,False,0.865673303604126,727.3262896537781
1,enzymes,sdrf_bfc,GCN,20,4,2,0.1,0.001,25.63333333333333,0.011525623627379125,31.166666666666664,0.009597453365925311,29.456250000000004,0.005123100935414454,0.0,0.0,False,1.264819860458374,1993.8518986701965
2,imdb,sdrf_bfc,GCN,20,4,2,0.1,0.001,48.73,0.010773504536593467,51.870000000000005,0.009417664253943223,50.125,0.0027251146764861096,0.0,0.0,False,4.1301960945129395,2320.728036403656
3,proteins,sdrf_bfc,GCN,20,4,2,0.1,0.001,70.67857142857143,0.009100908230074893,73.45045045045046,0.0091252145076201,71.28314606741574,0.003670864758437451,0.0,0.0,False,2.5597968101501465,3162.0325429439545
0,mutag,sdrf_bfc,GCN,30,4,2,0.1,0.001,67.85000000000001,0.023462949516205332,75.77777777777779,0.019846323166014316,70.57333333333334,0.007897161233985005,0.0,0.0,False,0.8686232566833496,749.5388991832733
0,mutag,sdrf_bfc,GCN,30,4,2,0.1,0.001,67.85000000000001,0.023462949516205332,75.77777777777779,0.019846323166014316,70.57333333333334,0.007897161233985005,0.0,0.0,False,0.8686232566833496,749.5388991832733
1,enzymes,sdrf_bfc,GCN,30,4,2,0.1,0.001,25.550000000000004,0.011728929097653279,31.116666666666664,0.010424916732947506,29.37708333333333,0.0067028950523884325,0.0,0.0,False,1.383533239364624,1997.687186717987
0,mutag,sdrf_bfc,GCN,30,4,2,0.1,0.001,67.85000000000001,0.023462949516205332,75.77777777777779,0.019846323166014316,70.57333333333334,0.007897161233985005,0.0,0.0,False,0.8686232566833496,749.5388991832733
1,enzymes,sdrf_bfc,GCN,30,4,2,0.1,0.001,25.550000000000004,0.011728929097653279,31.116666666666664,0.010424916732947506,29.37708333333333,0.0067028950523884325,0.0,0.0,False,1.383533239364624,1997.687186717987
2,imdb,sdrf_bfc,GCN,30,4,2,0.1,0.001,48.7,0.008982204629154248,52.92000000000001,0.0078876105380527,50.14875000000001,0.002994097318057647,0.0,0.0,False,4.931465148925781,2322.4444975852966
0,mutag,sdrf_bfc,GCN,30,4,2,0.1,0.001,67.85000000000001,0.023462949516205332,75.77777777777779,0.019846323166014316,70.57333333333334,0.007897161233985005,0.0,0.0,False,0.8686232566833496,749.5388991832733
1,enzymes,sdrf_bfc,GCN,30,4,2,0.1,0.001,25.550000000000004,0.011728929097653279,31.116666666666664,0.010424916732947506,29.37708333333333,0.0067028950523884325,0.0,0.0,False,1.383533239364624,1997.687186717987
2,imdb,sdrf_bfc,GCN,30,4,2,0.1,0.001,48.7,0.008982204629154248,52.92000000000001,0.0078876105380527,50.14875000000001,0.002994097318057647,0.0,0.0,False,4.931465148925781,2322.4444975852966
3,proteins,sdrf_bfc,GCN,30,4,2,0.1,0.001,70.55357142857144,0.008237467289582325,73.61261261261264,0.008265911823340737,71.54831460674157,0.002561912081028608,0.0,0.0,False,3.649003267288208,3099.2746040821075
0,mutag,sdrf_bfc,GCN,40,4,2,0.1,0.001,71.14999999999999,0.0224879967982922,73.16666666666666,0.022280756243122268,70.87999999999998,0.007584498811538059,0.0,0.0,False,0.8687539100646973,778.7921319007874
0,mutag,sdrf_bfc,GCN,40,4,2,0.1,0.001,71.14999999999999,0.0224879967982922,73.16666666666666,0.022280756243122268,70.87999999999998,0.007584498811538059,0.0,0.0,False,0.8687539100646973,778.7921319007874
1,enzymes,sdrf_bfc,GCN,40,4,2,0.1,0.001,26.216666666666665,0.012090905673273613,31.83333333333333,0.010354816378006044,29.231249999999996,0.005979332169602592,0.0,0.0,False,2.294661283493042,2027.2949349880219
0,mutag,sdrf_bfc,GCN,40,4,2,0.1,0.001,71.14999999999999,0.0224879967982922,73.16666666666666,0.022280756243122268,70.87999999999998,0.007584498811538059,0.0,0.0,False,0.8687539100646973,778.7921319007874
1,enzymes,sdrf_bfc,GCN,40,4,2,0.1,0.001,26.216666666666665,0.012090905673273613,31.83333333333333,0.010354816378006044,29.231249999999996,0.005979332169602592,0.0,0.0,False,2.294661283493042,2027.2949349880219
2,imdb,sdrf_bfc,GCN,40,4,2,0.1,0.001,48.730000000000004,0.00849872931678613,52.480000000000004,0.00893299501846945,50.048749999999984,0.002712216575054434,0.0,0.0,False,7.370346784591675,2379.2531394958496
0,mutag,sdrf_bfc,GCN,40,4,2,0.1,0.001,71.14999999999999,0.0224879967982922,73.16666666666666,0.022280756243122268,70.87999999999998,0.007584498811538059,0.0,0.0,False,0.8687539100646973,778.7921319007874
1,enzymes,sdrf_bfc,GCN,40,4,2,0.1,0.001,26.216666666666665,0.012090905673273613,31.83333333333333,0.010354816378006044,29.231249999999996,0.005979332169602592,0.0,0.0,False,2.294661283493042,2027.2949349880219
2,imdb,sdrf_bfc,GCN,40,4,2,0.1,0.001,48.730000000000004,0.00849872931678613,52.480000000000004,0.00893299501846945,50.048749999999984,0.002712216575054434,0.0,0.0,False,7.370346784591675,2379.2531394958496
3,proteins,sdrf_bfc,GCN,40,4,2,0.1,0.001,70.83928571428572,0.008520009461525837,74.09009009009009,0.007212250487721443,71.15280898876405,0.0028099090627261058,0.0,0.0,False,3.767939329147339,3163.8137686252594
